04-05-2023 	 10:57:10 	 cb19d55f-34e9-4f95-bff0-11c5122a1748 	 GET	undefined	/ 
04-12-2023 	 11:18:15 	 f806e2ee-0c50-4f6e-8cc8-c6cec5059a4a 	 GET	undefined	/employees 
04-12-2023 	 11:18:23 	 d41c4926-6490-4631-b1cc-7108914cfdb2 	 POST	undefined	/employees 
04-12-2023 	 11:18:40 	 2906fd79-fd40-4772-b01a-733f8eb73e2e 	 GET	undefined	/employees/626aca579d6b89da223dd87c 
04-12-2023 	 11:20:48 	 94945515-8c3f-4d5d-b4c2-286a11ae7784 	 GET	undefined	/employees/626aca579d6b89da223dd87c 
04-12-2023 	 11:20:57 	 9c16d75c-1203-4da3-b0a4-87dd195694ae 	 POST	undefined	/employees 
04-12-2023 	 11:21:17 	 859f98d1-4823-4ab9-986e-d582db9c42bc 	 PUT	undefined	/employees 
04-12-2023 	 11:28:28 	 1389bfe3-1579-4499-a4b2-f4721b405a83 	 PUT	undefined	/employees 
04-12-2023 	 11:28:40 	 46df8d78-a596-4485-a12f-6631d6533d04 	 GET	undefined	/employees 
04-12-2023 	 11:29:05 	 177e2558-a5f7-4023-9abf-18e9a1d8e089 	 GET	undefined	/employees 
04-12-2023 	 11:29:35 	 b0c32577-950c-44ab-af8b-4a350eede0e6 	 POST	undefined	/employees 
04-12-2023 	 11:29:47 	 e54c92cb-31cd-4f76-af46-1a72139796e9 	 GET	undefined	/employees 
04-12-2023 	 11:30:48 	 09dfb805-9cf5-4331-a558-d483044b12aa 	 PUT	undefined	/employees 
04-12-2023 	 11:31:03 	 2d4ddc9c-d990-4021-89b3-24c14debaf66 	 DELETE	undefined	/employees 
04-12-2023 	 11:31:12 	 f793f30c-8789-4b28-90a2-091ec9605b19 	 GET	undefined	/employees 
04-19-2023 	 03:55:39 	 a9edd053-1a82-4f3d-a965-e93387641867 	 GET	undefined	/ 
04-19-2023 	 03:55:53 	 6d0df787-6c08-49c1-bb1d-3ab55877f825 	 POST	undefined	/register 
04-19-2023 	 03:56:55 	 41eb02dc-7548-4962-9191-f8b76453dde7 	 POST	undefined	/register 
04-19-2023 	 03:57:37 	 605c846c-594c-4f0f-827e-588dfae12e9d 	 POST	undefined	/register 
04-19-2023 	 03:58:21 	 b79dc8f7-2b16-4a74-8b8b-b6102d602bff 	 POST	undefined	/register 
04-19-2023 	 03:58:52 	 85b3c971-e1ec-4c2a-a1ce-b97cfdf54aeb 	 POST	undefined	/register 
04-19-2023 	 04:00:02 	 47c3dd06-61ea-4a39-8d3b-b8e1877daea2 	 POST	undefined	/register 
04-19-2023 	 04:06:10 	 970ea30a-00ff-49d8-80df-95b175431e7a 	 POST	undefined	/auth 
12-12-2024 	 06:04:53 	 aca2776b-eaa3-4f39-be3d-dc9ac194b13c 	 GET	undefined	/ 
12-12-2024 	 06:05:16 	 fa48ad68-745e-4017-8640-bfcee697fdc8 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 06:05:19 	 cc7eff76-4956-422c-810f-be34e08e07d3 	 OPTIONS	http://localhost:4200	/tasks 
12-12-2024 	 06:05:19 	 582f2389-af4c-4ab0-bd85-06d04a2e1d39 	 OPTIONS	http://localhost:4200	/tasks 
12-12-2024 	 06:05:20 	 a426e3a9-8c31-4849-b5cb-32bd6105980a 	 OPTIONS	http://localhost:4200	/tasks 
12-12-2024 	 06:05:31 	 1e562548-4c2e-4ac2-b6cb-823a16aabf28 	 GET	undefined	/tasks 
12-12-2024 	 06:05:41 	 4ea0992b-08bf-43c1-8879-ee88668c7292 	 POST	undefined	/tasks 
12-12-2024 	 06:06:20 	 ba9c4b06-c8e9-4805-abb2-a6eb74951ad0 	 POST	undefined	/tasks?_id=1&name=fix%20thing&description=fix%20the%20back%20end 
12-12-2024 	 06:06:28 	 deea35c6-53e5-489d-8e0c-7307714b1235 	 PUT	undefined	/tasks?_id=1&name=fix%20thing&description=fix%20the%20back%20end 
12-12-2024 	 06:06:36 	 7baf3b18-2aea-42e5-843d-55af83dae19b 	 PUT	undefined	/tasks?Id=1&name=fix%20thing&description=fix%20the%20back%20end 
12-12-2024 	 06:06:42 	 f8cb8815-6a1b-41fb-8f51-dbb858470c85 	 POST	undefined	/tasks?Id=1&name=fix%20thing&description=fix%20the%20back%20end 
12-12-2024 	 06:06:53 	 1eee8d1e-3333-4baf-ad04-d4ec1b30611f 	 PUT	undefined	/tasks?_id=1&name=fix%20thing&description=fix%20the%20back%20end 
12-12-2024 	 06:07:01 	 5165e799-91e6-4bf3-8043-79568df7b04f 	 GET	undefined	/tasks/ 
12-12-2024 	 06:07:52 	 c8a7997e-5342-4cae-8426-19db2a859f62 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 06:07:53 	 e46a4fc3-5c1b-4765-bde1-c79378625423 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 06:07:56 	 28437da8-7e5c-4a6e-8808-f948094a4790 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 06:07:59 	 80944fa8-9bbd-4ebc-b24c-ee49608558ab 	 OPTIONS	http://localhost:4200	/tasks 
12-12-2024 	 07:05:56 	 e55ef340-4498-44ec-a010-7b806bad3761 	 GET	undefined	/tasks/ 
12-12-2024 	 07:06:30 	 da0d9921-8765-4be2-890a-6143f2fd0b24 	 POST	undefined	/tasks/?test=test 
12-12-2024 	 07:06:39 	 d39e05d6-1413-4490-a00f-ab47d55356e6 	 POST	undefined	/tasks/?name=test&description=test 
12-12-2024 	 07:09:29 	 b067d9ee-69f4-4655-bd67-e0dd116fcc3f 	 POST	undefined	/tasks/?name=test&description=test 
12-12-2024 	 07:09:39 	 1cbf015f-f0c0-4af0-8950-27aef9da1904 	 POST	undefined	/tasks/?Name=test&description=test 
12-12-2024 	 07:09:45 	 55053b99-65e4-40c2-8b4b-4bb6bdce91ef 	 POST	undefined	/tasks/?name=test&description=test 
12-12-2024 	 07:10:05 	 1515a76f-2281-47ea-905e-6af5c33564db 	 GET	undefined	/tasks/?name=test&description=test 
12-12-2024 	 07:10:08 	 ba2e943f-349a-44d3-8778-30f63aa186bc 	 GET	undefined	/tasks/ 
12-12-2024 	 07:10:40 	 36d6a9f8-34bf-4507-a73f-78478df695cc 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:11:00 	 9d752590-f00b-410b-849c-885da365d27f 	 GET	undefined	/tasks/ 
12-12-2024 	 07:11:03 	 dc835eca-7d84-423c-b599-b31cdc4dc300 	 POST	undefined	/tasks/ 
12-12-2024 	 07:11:21 	 78c07479-3e92-457d-a397-696dc42ada1b 	 POST	undefined	/tasks/?name=1&description=1 
12-12-2024 	 07:13:56 	 8167677f-2b13-4105-a747-f8d39b3a65d1 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:16:04 	 54bea594-3bf1-41b5-af54-770df485ee37 	 GET	undefined	/tasks/?name=1&description=1 
12-12-2024 	 07:16:07 	 a8db26bd-f379-4d3d-a05b-814f436f3f27 	 POST	undefined	/tasks/?name=1&description=1 
12-12-2024 	 07:41:34 	 336b5347-6800-4471-bd4f-40284bef18e0 	 POST	undefined	/tasks/?name=1&description=1 
12-12-2024 	 07:41:43 	 a4bbc34f-db2d-4e3a-b26a-ceb46ea2d26f 	 POST	undefined	/tasks/?name=1&description=1 
12-12-2024 	 07:42:13 	 c064e260-05c5-40b8-ad0e-a22c5c47f978 	 POST	undefined	/tasks/?name=1&description=1 
12-12-2024 	 07:42:24 	 4d8a8e78-64fc-47dc-b77c-01e4cf159c74 	 POST	undefined	/tasks/?name=1&description=1 
12-12-2024 	 07:42:37 	 1eec7897-75f5-42be-b3c6-3ed2a9a568f0 	 POST	undefined	/tasks/?name=1&description=1 
12-12-2024 	 07:42:47 	 c3bfc330-fe72-46c3-aaa3-29cdfee3d632 	 POST	undefined	/tasks/?name=1&description=1 
12-12-2024 	 07:43:16 	 66e2feee-e6ea-4281-8fab-8586c3ae659c 	 POST	undefined	/tasks/?name=1&description=1 
12-12-2024 	 07:43:45 	 357aa0d2-891d-418c-b82f-76222c117608 	 POST	undefined	/tasks/?name=1&description=1 
12-12-2024 	 07:44:17 	 cba6ae43-441d-4c0c-bd5f-aae419a63c35 	 POST	undefined	/tasks/?name=1&description=1 
12-12-2024 	 07:44:28 	 9af40163-1ac0-405c-b7b3-5b259d0eb816 	 GET	undefined	/tasks/ 
12-12-2024 	 07:44:58 	 f5fe9a96-ab5f-47cd-ab21-495bc24c3f50 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:45:00 	 c2d8f2b1-c3b6-4c4e-8c66-226e771df6e2 	 OPTIONS	http://localhost:4200	/tasks 
12-12-2024 	 07:45:00 	 961e5a5b-fb27-46a8-96d6-2e5fa2537e85 	 DELETE	http://localhost:4200	/tasks 
12-12-2024 	 07:45:00 	 05e28d80-75a6-4d3f-b037-11fe93c4ea77 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:45:04 	 f6c6e3e4-1fd7-45e4-aaf5-ee30429592cb 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:46:25 	 1cf2eb09-244b-49f7-b74c-350059faf0b6 	 POST	undefined	/tasks/ 
12-12-2024 	 07:46:26 	 c2fffd12-bcf3-4915-9a05-7d88d90385ad 	 POST	undefined	/tasks/ 
12-12-2024 	 07:46:32 	 a7848cfe-27ba-4165-bb6b-329e4aec1eba 	 POST	undefined	/tasks/ 
12-12-2024 	 07:46:45 	 d00f76bb-114d-43c0-acb8-13cd1f7d40db 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:46:53 	 085694a8-6785-4c45-99ee-785888196602 	 OPTIONS	http://localhost:4200	/tasks 
12-12-2024 	 07:46:53 	 42f3c699-d7d2-46d3-8ce9-2c8ca1c4715f 	 DELETE	http://localhost:4200	/tasks 
12-12-2024 	 07:46:53 	 b46ef412-232d-45c5-a6ee-072bb41f889c 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:47:10 	 9e53daf9-7e04-4696-99b4-6f830c82d1a0 	 OPTIONS	http://localhost:4200	/tasks 
12-12-2024 	 07:47:10 	 f2659a62-b7f9-4a65-9213-b9eaba8fd47a 	 DELETE	http://localhost:4200	/tasks 
12-12-2024 	 07:47:10 	 4bfc52d9-00c9-4831-b34a-6197ef840141 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:50:07 	 2561c535-aeee-4d5e-8467-14dc0b2c7cee 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:50:45 	 4353eaa9-1488-40cf-8d97-a2292a4df0af 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:51:00 	 56192c39-f2a0-421a-8efe-cb705756812d 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:51:47 	 904d1095-2468-4388-ad6b-483f844681ff 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:53:55 	 69f56daa-e3f5-4aad-96e7-661a661b3ebe 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:59:10 	 3bd27596-37f1-46b6-b226-6e66bc950ad1 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 07:59:33 	 93eb595c-5f14-40f7-b95a-d27057fa31ba 	 GET	undefined	/tasks/ 
12-12-2024 	 07:59:45 	 f419a096-ca45-4bca-9d79-6f71d374641e 	 POST	undefined	/tasks/ 
12-12-2024 	 08:00:13 	 4644c731-b867-441a-850e-15f934239de0 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 08:00:24 	 e7258539-884d-431d-9bc9-1fccf1a943f3 	 OPTIONS	http://localhost:4200	/tasks 
12-12-2024 	 08:00:24 	 26723d08-f9dc-49ca-98ad-bf650340efcd 	 DELETE	http://localhost:4200	/tasks 
12-12-2024 	 08:00:24 	 bff9e2f1-c3ac-43ee-b9ae-4f3a7cf4c972 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 08:01:21 	 3932ef6d-7cb9-4484-b5ca-bdc3727d507b 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 08:03:20 	 e71a340c-4ff5-4920-8469-082f54332a5d 	 GET	http://localhost:4200	/tasks 
12-12-2024 	 08:03:46 	 95fc54f2-3100-43ee-ba7e-9be52c84fdf3 	 GET	http://localhost:4200	/tasks 
